scene,mean,std,p50,p95,p99,max,nonzero_frac
cluster_0,0.692522495329,0.148543874864,0.688811902463,0.911055154053,1.07571237128,1.67088286944,0.999755859375
cluster_1,0.692311613561,0.121623513592,0.694942161818,0.884832272127,0.970952856831,1.60228460114,0.999755859375
cluster_2,0.724073028884,0.168825565452,0.704991464692,1.024138012,1.15784556354,1.77336486866,0.999755859375
cluster_3,0.708865180095,0.143513720766,0.700089202395,0.948840686671,1.06036166515,1.67938076498,0.999755859375
cluster_4,0.581565460518,0.269658611373,0.525694515355,1.07249933542,1.28557524945,1.59191161992,0.999755859375
cluster_5,0.733065761578,0.191740912297,0.708790528724,1.07929412203,1.24636815066,1.81487761744,0.999755859375
cluster_6,0.679319767313,0.122530277518,0.681692283054,0.872480605534,0.954404957732,1.59485270918,0.999755859375
cluster_7,0.719243467192,0.158663807711,0.708402181992,0.987805976977,1.1085596759,1.70075144711,0.999755859375
