adjustment_stat,scene_stat,pearson_r,pearson_p,spearman_rho,spearman_p
mean_abs_delta_g,r_std,0.306273555745,0.460638395088,-0.119047619048,0.778885726052
mean_abs_magnitude,hist_entropy_b,0.288302030454,0.488640662427,0.619047619048,0.101733037454
mean_abs_delta_g,hist_entropy_g,0.279116347569,0.503202604556,-0.285714285714,0.492726245017
mean_abs_delta_r,b_mean,0.274109383461,0.511208945968,0.0714285714286,0.866526270676
mean_abs_delta_g,luminance_std,0.268923505428,0.519551619928,-0.238095238095,0.570156320816
max_magnitude,saturation_mean,0.258009632849,0.537272476349,-0.047619047619,0.91084916852
mean_abs_delta_g,saturation_mean,-0.175496514691,0.677638010066,-0.214285714286,0.610344415645
mean_abs_delta_g,b_mean,-0.175166342808,0.678219605431,-0.595238095238,0.119529806139
mean_abs_delta_g,b_std,0.0873321546749,0.837082897538,-0.190476190476,0.651401495702
mean_abs_magnitude,saturation_mean,0.0662524095101,0.876139762393,-0.285714285714,0.492726245017
mean_abs_delta_r,saturation_mean,0.0416993301825,0.921904343901,-0.166666666667,0.693238811728
