metric,lut_a,lut_b,distance
manhattan,cluster_2,cluster_6,9.239860650151968
manhattan,cluster_2,cluster_7,8.777791481465101
manhattan,cluster_3,base,107.31427352130413
manhattan,cluster_3,cluster_0,27.34841663390398
manhattan,cluster_3,cluster_1,7.047761373221874
manhattan,cluster_3,cluster_2,4.670761596411467
manhattan,cluster_3,cluster_3,0.0
manhattan,cluster_3,cluster_4,42.87232852354646
manhattan,cluster_3,cluster_5,7.795700196176767
manhattan,cluster_3,cluster_6,5.2855256870388985
manhattan,cluster_3,cluster_7,7.747823469340801
manhattan,cluster_4,base,64.44194499775767
manhattan,cluster_4,cluster_0,33.63250685110688
manhattan,cluster_4,cluster_1,43.15482462570071
manhattan,cluster_4,cluster_2,43.68909918516874
manhattan,cluster_4,cluster_3,42.87232852354646
manhattan,cluster_4,cluster_4,0.0
manhattan,cluster_4,cluster_5,43.79038779437542
manhattan,cluster_4,cluster_6,39.27228493615985
manhattan,cluster_4,cluster_7,38.44700837507844
manhattan,cluster_5,base,108.23233279213309
manhattan,cluster_5,cluster_0,35.022792514413595
manhattan,cluster_5,cluster_1,14.095073517411947
manhattan,cluster_5,cluster_2,3.3174890354275703
manhattan,cluster_5,cluster_3,7.795700196176767
manhattan,cluster_5,cluster_4,43.79038779437542
manhattan,cluster_5,cluster_5,0.0
manhattan,cluster_5,cluster_6,12.546510476619005
manhattan,cluster_5,cluster_7,12.095280516892672
manhattan,cluster_6,base,103.71422993391752
manhattan,cluster_6,cluster_0,22.47628203779459
manhattan,cluster_6,cluster_1,3.962547518312931
manhattan,cluster_6,cluster_2,9.239860650151968
manhattan,cluster_6,cluster_3,5.2855256870388985
manhattan,cluster_6,cluster_4,39.27228493615985
manhattan,cluster_6,cluster_5,12.546510476619005
manhattan,cluster_6,cluster_6,0.0
manhattan,cluster_6,cluster_7,12.037802286446095
manhattan,cluster_7,base,102.88895337283611
manhattan,cluster_7,cluster_0,22.927511997520924
manhattan,cluster_7,cluster_1,14.750106021761894
manhattan,cluster_7,cluster_2,8.777791481465101
manhattan,cluster_7,cluster_3,7.747823469340801
manhattan,cluster_7,cluster_4,38.44700837507844
manhattan,cluster_7,cluster_5,12.095280516892672
manhattan,cluster_7,cluster_6,12.037802286446095
manhattan,cluster_7,cluster_7,0.0
cosine,base,base,0.0
cosine,base,cluster_0,4.267692565917969e-05
cosine,base,cluster_1,4.3392181396484375e-05
cosine,base,cluster_2,5.459785461425781e-05
cosine,base,cluster_3,4.982948303222656e-05
cosine,base,cluster_4,4.780292510986328e-05
cosine,base,cluster_5,5.7816505432128906e-05
cosine,base,cluster_6,4.297494888305664e-05
cosine,base,cluster_7,5.5909156799316406e-05
cosine,cluster_0,base,4.267692565917969e-05
cosine,cluster_0,cluster_0,0.0
cosine,cluster_0,cluster_1,6.9141387939453125e-06
cosine,cluster_0,cluster_2,1.0013580322265625e-05
cosine,cluster_0,cluster_3,7.212162017822266e-06
cosine,cluster_0,cluster_4,1.5974044799804688e-05
cosine,cluster_0,cluster_5,1.233816146850586e-05
cosine,cluster_0,cluster_6,5.364418029785156e-06
cosine,cluster_0,cluster_7,5.900859832763672e-06
cosine,cluster_1,base,4.3392181396484375e-05
cosine,cluster_1,cluster_0,6.9141387939453125e-06
cosine,cluster_1,cluster_1,0.0
cosine,cluster_1,cluster_2,1.6689300537109375e-06
cosine,cluster_1,cluster_3,4.76837158203125e-07
cosine,cluster_1,cluster_4,1.1324882507324219e-05
cosine,cluster_1,cluster_5,2.7418136596679688e-06
cosine,cluster_1,cluster_6,5.960464477539063e-08
