scene,distance_from_base_euclidean,mean_abs_magnitude,adjustment_std,max_magnitude,mean_abs_delta_r,mean_abs_delta_g,mean_abs_delta_b,specialization_score
cluster_6,1.0235439539,0.00844028563915,0.00231583295405,0.0204082903427,0.00566009506656,0.00743250858613,0.0122282532648,441.785823232
cluster_0,0.940479457378,0.00743259603284,0.00213784367646,0.0186048610131,0.00281457213441,0.00866466094885,0.0108185550152,439.713976168
cluster_1,1.05298066139,0.00875624752795,0.00241507697537,0.0214286764074,0.00633964318786,0.0075647531612,0.0123643462348,435.822480876
cluster_3,1.07383644581,0.0087332579363,0.00267039679232,0.0222476701276,0.00573236548917,0.00727722403917,0.0131901842806,401.975643938
cluster_2,1.09521925449,0.00879972690291,0.00275809157413,0.0224623495597,0.00575467381714,0.00684508095037,0.0137994259412,396.94922226
cluster_5,1.10671687126,0.00880796979103,0.00286510685897,0.02276631089,0.00580891135542,0.00645247835928,0.0141625196584,386.139430844
cluster_7,1.06651449203,0.00837312446068,0.00284487778638,0.0223002707499,0.00425247666044,0.00727668503623,0.0135902116854,374.757657247
cluster_4,0.800556778908,0.00524429890932,0.00270516300018,0.0157296076138,0.00145672075905,0.00263453601747,0.0116416399514,295.82725758
