cluster,n_images,luminance_mean,luminance_std,r_mean,g_mean,b_mean,r_std,g_std,b_std,saturation_mean,hist_entropy_r,hist_entropy_g,hist_entropy_b,dkl_0,dkl_1,dkl_2,dkl_3,dkl_4,dkl_5,dkl_6,dkl_7,dkl_8
0,60,0.302004873753,0.102962113917,0.269692003727,0.324683248997,0.269981890917,0.124246627092,0.104266785085,0.117946609855,0.111830018461,3.99988516518,3.77199449975,3.9189979475,0.0271694660187,-0.0906049311161,0.0911953523755,0.0200264789164,0.0620245859027,0.0624470114708,0.0238891169429,-0.0818741992116,0.0823677033186
1,60,0.390462547541,0.167937815189,0.389508664608,0.403725415468,0.32467263937,0.186292916536,0.176784425974,0.175422057509,0.175293043256,4.511172871,4.37728832753,4.27450032676,0.0526998750865,-0.165863230824,0.166858047247,0.0479773059487,0.149184077978,0.15008418262,0.0358533859253,-0.11002369225,0.11062117666
2,60,0.45704177022,0.19120810926,0.414033800364,0.482783764601,0.437295079231,0.213340073824,0.193397179246,0.17285604775,0.153198555112,4.51215353596,4.42411700556,4.49148329421,0.0692737400532,-0.229928284883,0.231513515115,0.0605904124677,0.190607488155,0.191761747003,0.0366306193173,-0.126857385039,0.127839893103
3,60,0.524112820625,0.205780506134,0.494480788708,0.556241750717,0.436396539211,0.247301712632,0.205689117312,0.180023238063,0.207127466798,4.78897631629,4.4652982341,4.57242519791,0.0945276468992,-0.303469240665,0.305152952671,0.0689879208803,0.210814341903,0.211935117841,0.0842262506485,-0.288671553135,0.290270835161
4,60,0.230415180326,0.0998373031616,0.208718910813,0.214870005846,0.36736407876,0.109564930201,0.0983861163259,0.135911211371,0.182984575629,3.82882840193,3.7732020334,4.38994155557,0.0156244290993,-0.0551813393831,0.0561810024083,0.0163174364716,0.0513812415302,0.0519519224763,0.0113844554871,-0.0442503206432,0.0452566929162
5,60,0.483054667711,0.218525022268,0.455698430538,0.50658839941,0.433626681566,0.245313361287,0.218561708927,0.20351408422,0.150810882449,4.6993974162,4.5915733584,4.6041288014,0.0819717943668,-0.264818817377,0.266502320766,0.0717601403594,0.224571764469,0.225988656282,0.0514154471457,-0.170901447535,0.171992823482
6,60,0.37645149231,0.134529978037,0.348233312368,0.398769587278,0.335543304682,0.149896174669,0.144219636917,0.162342175841,0.158396229148,4.22474532387,4.216077181,4.26317954013,0.0441747382283,-0.146059662104,0.147033974528,0.0352206043899,0.112825468183,0.113643549383,0.0351939871907,-0.115571953356,0.116288281977
7,60,0.599321186543,0.206133395433,0.583491444588,0.629525840282,0.485311448574,0.272295027971,0.199593514204,0.156253188848,0.260960549116,4.77444745948,4.1088412716,4.46609838901,0.123948596418,-0.388340830803,0.390376389027,0.0769520998001,0.223983630538,0.224910482764,0.142244175076,-0.459811508656,0.462099671364
